Id,Location,Price,Type,No. Beds,No. Baths,Area,Latitude,Longitude,Region,Sub-region
0,"Sector 10, Uttara, Dhaka",7500000,Apartment,3,3,1300,23.86846,90.3928,Uttara,Sector 10
1,"Section 11, Mirpur, Dhaka",7280000,Apartment,4,4,1456,23.81223,90.35967,Mirpur,Section 11
2,"Chowdhuripara, Khilgaon, Dhaka",13000000,Apartment,3,3,1550,23.75349,90.42469,Khilgaon,Chowdhuripara
3,"Road No 4, Banani, Dhaka",37000000,Apartment,3,3,2669,23.78855,90.40081,Banani,Road No 4
4,"South Banasree Project, Banasree, Dhaka",3600000,Apartment,2,2,835,23.76354,90.4318,Banasree,South Banasree Project
5,"Section 11, Mirpur, Dhaka",6800000,Apartment,3,3,1260,23.81223,90.35967,Mirpur,Section 11
6,"Section 11, Mirpur, Dhaka",6800000,Apartment,3,3,1260,23.81223,90.35967,Mirpur,Section 11
7,"Shantinagar Bazar Rd, Shantinagar, Dhaka",5500000,Apartment,2,2,750,23.74071,90.41285,Shantinagar,Shantinagar Bazar Rd
8,"West Rampura, Rampura, Dhaka",6700000,Apartment,3,2,938,23.76748,90.42231,Rampura,West Rampura
9,"Farmgate, Tejgaon, Dhaka",13500000,Apartment,3,3,1455,23.7921,90.37846,Tejgaon,Farmgate
10,"Sector 10, Uttara, Dhaka",10500000,Apartment,3,3,1376,23.86846,90.3928,Uttara,Sector 10
11,"West Rampura, Rampura, Dhaka",6700000,Apartment,3,2,938,23.76748,90.42231,Rampura,West Rampura
12,"New Eskaton Road, Eskaton, Dhaka",15000000,Apartment,3,3,1895,23.74751,90.40013,Eskaton,New Eskaton Road
13,"New Eskaton Road, Eskaton, Dhaka",18000000,Apartment,3,4,1785,23.74751,90.40013,Eskaton,New Eskaton Road
14,"Paikpara, Mirpur, Dhaka",6700000,Apartment,3,3,1300,23.79193,90.35733,Mirpur,Paikpara
15,"Sector 9, Uttara, Dhaka",22000000,Apartment,3,4,2000,23.86846,90.3928,Uttara,Sector 9
16,"Sector 10, Uttara, Dhaka",7500000,Apartment,3,3,1525,23.86846,90.3928,Uttara,Sector 10
17,"Pirerbag, Mirpur, Dhaka",3900000,Apartment,3,2,960,23.81223,90.35967,Mirpur,Pirerbag
18,"Sector 11, Uttara, Dhaka",12500000,Apartment,3,3,1550,23.86846,90.3928,Uttara,Sector 11
19,"Sector 10, Uttara, Dhaka",7500000,Apartment,3,3,1525,23.86846,90.3928,Uttara,Sector 10
20,"Sector 10, Uttara, Dhaka",7500000,Apartment,3,3,1528,23.86846,90.3928,Uttara,Sector 10
21,"East Rampura, Rampura, Dhaka",7000000,Apartment,4,4,1510,23.76036,90.41909,Rampura,East Rampura
22,"East Maniknagar, Maniknagar, Dhaka",8250000,Plot,,,1980,23.72263,90.42987,Maniknagar,East Maniknagar
23,"Middle Badda, Badda, Dhaka",5175000,Apartment,3,3,1150,23.77753,90.4259,Badda,Middle Badda
24,"Middle Badda, Badda, Dhaka",5400000,Apartment,3,3,1200,23.77753,90.4259,Badda,Middle Badda
25,"Sector 12, Uttara, Dhaka",6000000,Apartment,3,2,1050,23.86846,90.3928,Uttara,Sector 12
26,"Middle Badda, Badda, Dhaka",5500000,Apartment,2,3,1100,23.77753,90.4259,Badda,Middle Badda
27,"Middle Badda, Badda, Dhaka",5500000,Apartment,2,3,1100,23.77753,90.4259,Badda,Middle Badda
28,"Middle Badda, Badda, Dhaka",5500000,Apartment,2,3,1100,23.77753,90.4259,Badda,Middle Badda
